nome;mae;pai;data_nasc;titulo;zona;secao;municipio;uf;data_insc;votou
Donna Robertson;Nayda Wise;Yoshio Bates;24/12/1972;1635041061199;459;8809;Bacabal;MA;10/03/2018;0
Kylynn Gilliam;Zelenia Dennis;Howard Lynch;10/09/1923;1647020814299;412;5282;Codó;MA;30/04/2019;1
Fritz Guerrero;Unity Ruiz;Connor Nixon;07/03/1973;1676091319899;900;6339;Imperatriz;MA;05/10/2018;0
Hadley Keller;Xena Parsons;Gabriel Richards;05/08/1938;1697091522199;842;7853;Paço do Lumiar;MA;28/09/2019;1
Ann Marshall;Jorden Walker;Zachery Le;05/11/1918;1662110678099;533;9712;Santa Inês;MA;28/06/2018;1
Blair Dickson;Brynne Mosley;Calvin Harvey;23/03/2002;1697042216899;854;3205;Balsas;MA;03/03/2019;1
Jaquelyn Ramirez;Keiko Hahn;Demetrius Humphrey;14/05/2011;1602080120899;429;7611;Chapadinha;MA;28/05/2018;1
Kaye Schwartz;Patricia Norris;Justin Hernandez;26/03/1914;1644110393499;724;4144;Chapadinha;MA;09/08/2018;0
Daphne Banks;Ann Soto;Robert Bass;07/02/2004;1617121487499;547;4707;São Luís;MA;01/04/2019;0
August Foster;September Russo;Richard Gomez;09/09/1998;1634030150699;324;8539;Bacabal;MA;24/02/2019;1
Asher Terry;Chastity Levy;Cedric Sweet;08/11/1986;1609090530799;870;9298;Santa Inês;MA;24/06/2019;1
Rudyard Gibson;Amber Bowman;Slade Lott;05/01/2015;1614052105799;921;8239;Paço do Lumiar;MA;09/01/2019;1
Melodie Velazquez;Deborah Valentine;Hyatt George;06/03/1984;1651010406399;573;3072;Caxias;MA;07/09/2019;1
Lyle Matthews;Martina Turner;Kenneth Banks;19/08/1993;1681021441199;521;4908;Bacabal;MA;06/07/2018;1
Liberty Simpson;Xena Fuller;Alec Gentry;25/03/1993;1662090477199;800;5249;Chapadinha;MA;08/04/2018;1
Skyler Ward;Shoshana Aguilar;Alec Bean;11/12/1986;1647062519999;589;7730;Codó;MA;09/08/2018;1
Jasper Diaz;Madonna Hunter;Philip Harper;07/10/1924;1620102734399;133;7247;Barra do Corda;MA;06/05/2018;0
Elton Wheeler;Amelia Conrad;Len Roman;25/03/1994;1634111991399;476;8900;Governador Valadares;MG;17/10/2018;1
Galvin Cardenas;Roanna Bruce;Drew Pittman;07/01/1945;1681101429399;315;7310;Belo Horizonte;MG;19/06/2019;1
Neil Pearson;Jorden Shepherd;Valentine Hood;28/04/1964;1675051771099;918;9423;Divinópolis;MG;09/02/2018;1
May Gates;Alfreda Mccarty;Hayes Livingston;20/01/1951;1668110256799;834;8273;Uberaba;MG;20/12/2019;0
Norman Roberts;Adria Blair;Curran Poole;22/01/1944;1672011634399;696;7366;Uberaba;MG;22/07/2018;1
Jeremy Douglas;Kerry Harding;Carl Cummings;21/07/1930;1621101309699;207;7786;Juiz de Fora;MG;25/11/2019;0
Kyle Delgado;Venus Kline;Jerry Macdonald;22/11/1958;1696032327599;715;7565;Contagem;MG;24/07/2019;1
Cadman Cervantes;Aurora Gilmore;Finn Orr;06/05/1938;1622043090199;330;2378;Sete Lagoas;MG;29/12/2018;0
Xavier Bryan;Adrienne Andrews;Ryan Pena;12/08/1989;1658061496399;438;5730;Ipatinga;MG;12/01/2019;1
Francesca Fields;Kai Carr;Hayes Benson;23/05/1922;1695122341199;282;2372;Betim;MG;23/12/2019;1
Steven Williamson;Maggy Raymond;Duncan Allen;11/11/1985;1639081958999;458;9515;Governador Valadares;MG;19/03/2019;0
Adam Poole;Quintessa Holcomb;Rahim Marsh;07/12/1983;1616102767999;404;5325;Betim;MG;06/12/2019;1
Quincy Hogan;Zoe Vargas;Ray Schroeder;13/12/1939;1698032472799;443;9867;Uberaba;MG;09/03/2019;1
Hyatt Barnett;Ciara Burt;Emery Mcconnell;02/06/1964;1618050414899;870;5711;Betim;MG;17/08/2018;1
Nevada Moss;Hanae Howard;Alexander Alston;12/12/1971;1624092655099;320;7752;Juiz de Fora;MG;27/06/2018;1
Amela Holder;Lydia Mason;Rafael Dickson;16/02/1983;1619011793599;878;2569;Ribeirão das Neves;MG;23/03/2019;1
Wang Shepherd;Lisandra Black;Kareem Garrison;01/08/1997;1695070185399;805;4667;Belo Horizonte;MG;19/06/2018;0
Kane Gonzalez;Alfreda Nicholson;Benedict Strong;04/10/1944;1662092987999;296;9705;Ipatinga;MG;15/09/2019;0
Jane Cortez;Alexis Long;Yardley Morton;04/12/1923;1670122525099;661;4850;Uberaba;MG;15/07/2019;0
Emi Butler;Xantha Maddox;Gabriel Juarez;18/08/1948;1664050782799;819;5912;Ipatinga;MG;10/09/2019;0
Graham Richard;Eugenia Wallace;Hunter Snyder;15/05/2015;1612021651499;997;6739;Juiz de Fora;MG;13/06/2019;0
Lewis Rosa;Wilma Thomas;Ignatius Ellis;28/01/1986;1608020583199;818;4620;Betim;MG;21/02/2018;0
Ezra Carrillo;Keiko Elliott;Ciaran Brennan;30/06/1924;1614081506499;274;6211;Santa Luzia;MG;09/11/2019;0
Adam Mooney;Candice Duran;Rigel Glenn;08/02/1985;1679030901099;984;8322;Sete Lagoas;MG;30/10/2018;1
Noelle Perez;Maggy Vazquez;Benedict Berger;20/12/1952;1647011888699;843;3867;Contagem;MG;27/01/2019;1
Kylie Welch;Hedda Nicholson;Ryder Carter;14/09/2014;1668122696899;705;5335;Governador Valadares;MG;19/02/2019;0
Michael Salas;Jocelyn Knapp;Grady Hampton;16/08/1962;1642052377499;431;6992;Uberaba;MG;02/03/2019;1
Dawn Goff;Emi Porter;Grant Burks;21/08/1989;1665111812799;657;6509;Santa Luzia;MG;21/07/2018;0
Orlando Collins;Deirdre Mckee;Hu Cohen;10/08/1973;1664050302299;782;6646;Sete Lagoas;MG;03/04/2019;0
Grady Sosa;Allegra Cervantes;Prescott Franco;20/04/1911;1674051702399;128;9017;Santa Luzia;MG;15/11/2019;0
Xavier Santana;Maggie Owens;Kato Glass;07/06/1947;1659072437999;221;3411;Juiz de Fora;MG;17/07/2018;0
Ulysses Sexton;Adrienne Maynard;Magee Parsons;13/12/1926;1660032818199;716;7351;Uberaba;MG;16/04/2019;1
Winifred Wyatt;Rana Tucker;Flynn Dunn;05/11/1925;1692022845899;506;4396;Santa Luzia;MG;03/02/2018;0
Kim Alford;Halee Mills;Raja Case;01/09/2014;1677042517499;914;8213;Juiz de Fora;MG;31/05/2019;0
Nicholas Green;Hedda Church;Bruce Waters;04/08/1984;1627020513399;101;6565;Ribeirão das Neves;MG;04/01/2020;1
Elijah Moody;Amber Craig;Ahmed Mckenzie;22/11/1939;1647111307299;137;5431;Santa Luzia;MG;15/12/2019;0
Asher Rodriguez;Cherokee Orr;Robert Phillips;20/09/2002;1695081651999;958;9977;Ribeirão das Neves;MG;06/04/2019;1
Linus Warren;Barbara Murray;Aquila Chapman;22/07/1978;1664011353099;495;2913;Santa Luzia;MG;08/10/2018;0
Vaughan Luna;Brenda Berger;Ross Owens;26/02/1943;1660122976799;456;2784;Uberaba;MG;04/02/2019;1
Melinda Pearson;Caryn May;Rigel Kent;12/02/1986;1653042803899;988;2301;Juiz de Fora;MG;01/05/2019;1
Avye Kemp;Sydnee Reynolds;Lucian Puckett;10/10/1915;1632032443099;841;5856;Uberaba;MG;29/08/2018;1
Nita Franklin;Jade Norris;Stone Savage;04/07/1952;1680072357799;139;7362;Betim;MG;18/03/2019;0
Yolanda Craig;Hadley Marquez;Maxwell Coffey;13/09/1908;1616080866299;644;3658;Contagem;MG;04/05/2019;0
Portia Clark;Basia Mathews;Dean Farrell;11/04/2007;1648061174499;638;7146;Governador Valadares;MG;03/10/2019;0
Cruz Mcguire;Darryl Estes;Hyatt Byrd;07/11/1912;1692052707499;253;6737;Uberaba;MG;18/09/2019;1
Tobias Bowers;Rae Ruiz;Leroy Haley;30/08/1929;1685030711499;244;3356;Contagem;MG;11/01/2018;0
Nicole Bailey;Rylee Yang;Kareem Rose;25/05/1951;1679051578799;798;2622;Ribeirão das Neves;MG;17/05/2018;0
Howard Francis;Jessica Holden;Hayden Warren;31/05/1928;1644031069999;120;8007;Santa Luzia;MG;13/03/2018;0
Tamara Zimmerman;Lani Higgins;Grant Wilkinson;12/04/1957;1626060560299;228;4443;Uberaba;MG;14/12/2019;0
Gloria Richardson;Maris Cash;Brennan Blackburn;20/01/1992;1680030921299;622;6557;Juiz de Fora;MG;08/01/2019;1
Dawn Hernandez;Shay Cook;Brian Whitney;24/07/2011;1632092146999;440;7323;Cametá;PA;03/10/2018;1
Hoyt Owen;Tashya Everett;Walker Villarreal;28/04/2017;1646060273999;844;5546;Marabá;PA;31/03/2019;1
Nelle Hart;Cheyenne Beasley;Buckminster Lawrence;25/08/1922;1615081597799;335;6841;Bragança;PA;29/03/2018;1
Kermit Howard;Calista Johnston;Alden Conley;09/06/1938;1627050159999;907;2637;Belém;PA;21/05/2019;1
Dylan Hutchinson;Kitra Goff;Lucian Whitaker;25/11/1925;1646092348899;143;4762;Castanhal;PA;16/06/2019;1
Carolyn Pugh;Olga Taylor;Reece Welch;02/01/1938;1625082373799;910;7033;Marabá;PA;31/03/2018;0
Gil Mclean;Bethany Pitts;Justin Briggs;12/12/1996;1642061113199;656;4205;Marabá;PA;21/07/2018;1
Lana Park;Erin Dickson;Mannix Davidson;12/07/1959;1632091004399;555;2044;Belém;PA;13/03/2019;1
Hunter Shepard;Nayda Gray;Colorado Zimmerman;18/03/1967;1680012053999;563;9548;Cametá;PA;19/04/2018;0
Shea Peters;Urielle Mcmahon;Russell Rutledge;06/06/1934;1617011024699;694;5185;Castanhal;PA;01/03/2019;0
Todd Pace;Alika Cohen;Nolan Dotson;16/10/1934;1676070527199;732;8452;Bragança;PA;29/07/2019;0
Deacon Hancock;Mikayla Walsh;Donovan Puckett;03/01/1952;1651050840399;182;6603;Sousa;PB;30/09/2018;0
Samson Booth;Gillian Skinner;Lionel Espinoza;28/12/1958;1611020715599;648;4882;Cajazeiras;PB;28/01/2018;0
Barrett Mccarthy;Cailin Vance;Reuben Wiggins;06/08/2018;1637020871899;964;8194;Cajazeiras;PB;27/03/2019;0
Ina Parrish;Nayda Pratt;Kamal Hayden;09/07/1995;1673072194799;845;2607;Santa Rita;PB;16/07/2019;1
Camilla Coffey;Mikayla Mcgowan;Paki Moreno;13/11/1970;1646102447699;532;9724;Ponta Grossa;PR;30/05/2019;0
Hyacinth Dennis;Cailin Cervantes;Axel Sparks;12/11/2017;1675040549599;141;3524;Paranaguá;PR;24/09/2018;1
Joseph Reilly;Melissa Hardy;Raymond Dillon;18/06/1977;1681121990899;616;3770;São José dos Pinhais;PR;03/10/2018;0
Moses Delaney;Bertha Mayo;Chester Fleming;23/10/1929;1635112980299;201;7583;Paranaguá;PR;14/02/2018;1
Ebony Rocha;Rose Short;Tucker Snyder;01/02/1962;1652111731299;742;4287;Londrina;PR;25/04/2018;0
Brendan Gibson;Jane Robbins;Brenden Mann;26/08/1947;1606123005499;551;9498;São José dos Pinhais;PR;16/02/2019;1
Theodore Horne;Unity Wong;Gage Middleton;13/11/2017;1606071654499;608;2403;Foz do Iguaçu;PR;31/10/2019;0
Griffith Rhodes;Isabella Rios;Troy Sanford;22/11/2017;1636032494399;874;2535;Guarapuava;PR;29/09/2019;0
Christopher Holman;Amena Long;Grant Pittman;20/03/1923;1646062142099;479;4510;Colombo;PR;16/04/2019;0
Francesca Daniels;Lael Daniels;Palmer Hawkins;22/10/2016;1678010609299;648;9940;São José dos Pinhais;PR;10/01/2019;0
Britanney Carney;Kessie Chandler;Dolan Jarvis;27/09/1930;1602031888699;149;8638;Colombo;PR;28/09/2019;1
Minerva Davis;Charity Shields;Erasmus Haney;27/05/2004;1626042456299;707;7640;Colombo;PR;21/11/2018;0
Warren Battle;Rhoda Finch;Howard Decker;04/07/1976;1663120208099;536;2525;Maringá;PR;11/10/2019;1
Tate Chase;Allegra Morse;Mannix Park;12/11/1926;1698011641199;472;5812;Foz do Iguaçu;PR;19/10/2019;0
Piper Mcfarland;Samantha Bartlett;Kaseem Andrews;12/09/1967;1648092254599;721;4662;Cascavel;PR;06/05/2019;1
Fritz Jones;Quynn Vang;Lamar Anderson;07/01/1937;1674051734399;443;3093;Guarapuava;PR;08/05/2018;1
Carolyn Brown;Sonya Perkins;Chandler Wright;25/11/1916;1640051876699;711;4037;Maringá;PR;10/06/2019;0
Brooke Nixon;Kiara Reeves;Wayne Montoya;17/03/1976;1628031169499;481;6499;Foz do Iguaçu;PR;07/08/2019;0
Signe Fitzpatrick;Liberty Gibson;Mufutau Wiley;07/05/1969;1656030442199;872;2271;Cajazeiras;PB;23/07/2019;1
Derek Mason;Kim Elliott;Ulric Carrillo;13/04/2017;1698021071799;722;6623;Sousa;PB;04/06/2019;0
Zephr Briggs;Iola Cohen;Peter Colon;09/02/1936;1679040565299;919;4471;João Pessoa;PB;03/07/2019;0
Athena Branch;Debra Ball;Vincent Cox;06/05/1941;1670032770999;841;6707;Bayeux;PB;08/10/2018;1
Kirestin Best;Kim Morin;Isaac Woods;07/03/1940;1624122741199;394;5179;Sousa;PB;04/01/2020;0
Keiko Aguirre;Megan Richardson;Burton Madden;29/12/2011;1680061273699;642;6225;Olinda;PE;29/01/2019;1
Bruce Mercer;Angelica Sargent;Herman Watson;24/12/1990;1676010614499;143;3184;Paulista;PE;14/01/2019;1
Wyatt Phillips;Jamalia Foley;Omar Morin;09/09/1999;1675062686699;690;5680;Jaboatão dos Guararapes;PE;24/10/2018;1
Jane Burnett;Carolyn Russo;Tiger Gomez;04/11/1986;1652062327199;606;5905;Petrolina;PE;09/11/2019;1
Victoria Gates;Candice Cameron;Colorado Singleton;02/09/1911;1677052701299;437;2346;Paulista;PE;13/03/2018;1
Nyssa Emerson;Anne Cole;Gannon Zimmerman;23/02/1979;1620081398099;843;4559;Caruaru;PE;29/08/2018;0
Dennis Dyer;Jessamine Valdez;Leroy Sykes;16/11/1921;1668100491899;509;8156;Olinda;PE;11/01/2019;0
Halee Houston;Danielle Oneil;Robert Compton;16/05/2008;1609041407099;290;2643;Paulista;PE;13/07/2018;0
Basil Schneider;Scarlett Madden;Fritz Fleming;15/02/1986;1668032597199;368;3487;Paulista;PE;11/03/2019;1
Chaim Gordon;Jada Ferguson;Upton Gilbert;11/06/1956;1621052230699;222;6048;Cabo de Santo Agostinho;PE;22/11/2019;0
Rae Oconnor;Nerea Fuller;Castor Odonnell;26/06/1967;1615100935399;863;3876;Petrolina;PE;01/01/2019;1
Constance Cox;Clio Weaver;Warren Clemons;02/11/1953;1658082010699;471;2628;Cabo de Santo Agostinho;PE;04/05/2019;0
Micah Franco;Chloe Bean;Hamilton Nelson;21/02/2014;1636072791899;166;8814;Camaragibe;PE;26/09/2018;1
Heather Long;Kendall Buck;Caleb Potts;07/02/1974;1640062312499;435;8612;Olinda;PE;27/04/2018;0
Quyn Kidd;Lacota Johnston;Clinton Hewitt;22/12/1998;1618111679799;143;5362;Paulista;PE;14/02/2019;0
Brian Nunez;Kim Hinton;Lyle Mccormick;16/12/1948;1605050840199;475;6365;Caruaru;PE;22/08/2019;1
Keane Tucker;Xandra Griffin;Lawrence Short;05/07/1909;1686062302199;611;7577;Jaboatão dos Guararapes;PE;28/09/2018;0
Lois Banks;Eleanor Preston;Basil Callahan;09/09/1940;1608011671999;500;4065;Jaboatão dos Guararapes;PE;09/11/2018;0
Yoshi Flores;Keelie Jefferson;Fitzgerald Norris;10/02/1952;1692011981599;887;2046;Cabo de Santo Agostinho;PE;04/10/2018;1
Griffin Dale;Winter Lyons;Dolan Mcdowell;23/12/2008;1657031214499;344;7601;Olinda;PE;03/05/2019;1
Zachary Weaver;Eliana Keith;George Small;15/07/1998;1653102790599;593;8350;Petrolina;PE;27/07/2019;1
April Bailey;Margaret Lott;Xanthus Lindsey;18/10/1976;1646092780099;110;8744;Caruaru;PE;21/04/2018;0
Garth Collier;Imani Turner;Malachi Hogan;08/09/1966;1633021621699;768;6005;Camaragibe;PE;17/07/2019;0
Daryl Owens;Mollie Dorsey;Leroy Campos;11/12/1992;1621071960399;898;7658;Paulista;PE;12/08/2019;0
Nasim Hartman;Adele Pickett;Sean Fernandez;14/02/2015;1696081375799;248;9186;Recife;PE;29/07/2019;0
McKenzie Hogan;Candice Chase;Timothy Schroeder;29/12/1913;1632092732099;121;4501;Petrolina;PE;09/11/2018;0
Caryn Dickson;Tara Myers;Quinlan Payne;09/02/2005;1617021035799;870;7616;Jaboatão dos Guararapes;PE;08/02/2019;0
Harlan Atkinson;Sheila Farmer;Hyatt Pena;08/01/2005;1661052380499;246;9332;Petrolina;PE;19/06/2018;1
Raymond Phelps;Cecilia Elliott;Preston Hamilton;09/08/1951;1649031404499;883;5394;Jaboatão dos Guararapes;PE;30/03/2018;0
Darryl Daugherty;Evelyn Lynch;Nero Ayala;12/07/1981;1616091853999;782;8842;Olinda;PE;11/06/2019;1
Maxwell Myers;Alfreda Wyatt;Giacomo Lowery;07/08/1991;1677011929799;699;9193;Colombo;PR;22/01/2018;0
Sacha Marsh;Alice Shields;Lawrence Bowman;11/05/1975;1648052480599;390;9101;Curitiba;PR;05/03/2019;0
Hammett Barnett;Tana Pate;Keegan Waller;14/04/2018;1624092758799;254;6633;Foz do Iguaçu;PR;31/03/2018;0
Eaton Oneal;Scarlett Chaney;Vance Guerrero;22/11/1951;1676010417999;171;9694;Paranaguá;PR;23/01/2018;0
Katell Harrison;Adara Reyes;Nigel Sparks;27/07/1932;1672060336999;697;4469;Colombo;PR;16/07/2019;0
Alexandra Hinton;Alexis Bullock;Garth Santiago;27/01/1983;1652050349999;534;2835;Londrina;PR;08/11/2019;1
